financial_year,cpi_all_groups_australia,base_2011_12
1994-95,61.0,0.615
1995-96,63.7,0.642
1996-97,64.6,0.651
1997-98,65.2,0.657
1998-99,66.3,0.668
1999-00,68.4,0.689
2000-01,72.6,0.732
2001-02,74.8,0.754
2002-03,77.0,0.776
2003-04,79.0,0.796
2004-05,81.1,0.817
2005-06,84.0,0.847
2006-07,86.6,0.873
2007-08,89.4,0.901
2008-09,92.5,0.932
2009-10,94.5,0.953
2010-11,97.4,0.981
2011-12,99.2,1.000
2012-13,101.7,1.025
2013-14,104.2,1.050
2014-15,106.1,1.069
2015-16,107.4,1.082
2016-17,109.3,1.102
2017-18,111.6,1.125
2018-19,114.1,1.150
2019-20,115.6,1.165
2020-21,118.4,1.193
2021-22,123.6,1.246
2022-23,132.9,1.339
2023-24,137.4,1.385
