financial_year,erp_june_australia_thousands,note
1994-95,18072,"ABS 3101.0 Estimated Resident Population at 30 June"
1995-96,18311,
1996-97,18518,
1997-98,18711,
1998-99,18926,
1999-00,19153,
2000-01,19413,
2001-02,19651,
2002-03,19895,
2003-04,20127,
2004-05,20394,
2005-06,20698,
2006-07,21016,
2007-08,21432,
2008-09,21865,
2009-10,22172,
2010-11,22340,
2011-12,22728,
2012-13,23128,
2013-14,23491,
2014-15,23815,
2015-16,24190,
2016-17,24599,
2017-18,24992,
2018-19,25365,
2019-20,25649,
2020-21,25739,
2021-22,25978,
2022-23,26638,
2023-24,27122,
